beam,score
2,5973.808988764045
4,6068.168539325843
6,6068.168539325843
8,6237.247191011236
10,6237.247191011236
12,6237.247191011236
14,6477.966292134832
16,6237.247191011236
18,6477.966292134832
20,6395.606741573034
22,6395.606741573034
24,5831.089887640449
26,5831.089887640449
28,5831.089887640449
30,6395.606741573034
32,5179.213483146067
34,6346.606741573034
36,5931.449438202247
38,6224.887640449438
40,6224.887640449438
42,6224.887640449438
44,6224.887640449438
46,6224.887640449438
48,6256.887640449438
50,6256.887640449438
52,6256.887640449438
54,6256.887640449438
56,6256.887640449438
58,6256.887640449438
60,6256.887640449438
62,6256.887640449438
64,6256.887640449438
66,6256.887640449438
68,6256.887640449438
70,6256.887640449438
72,6256.887640449438
74,6256.887640449438
76,6256.887640449438
78,6256.887640449438
80,6256.887640449438
82,6256.887640449438
84,6256.887640449438
86,6256.887640449438
88,6256.887640449438
90,6256.887640449438
92,6256.887640449438
94,6256.887640449438
96,6256.887640449438
98,6256.887640449438
100,6256.887640449438
