run,restarts,r-value,score
1,1,100,6262.123595505618
2,1,100,2261.988764044944
3,1,100,1300.0337078651685
4,1,100,6327.561797752809
5,1,100,5965.483146067416
6,1,100,6090.483146067416
7,1,100,6270.483146067416
8,1,100,6018.640449438202
9,1,100,5742.561797752809
10,1,100,6038.561797752809
11,1,100,6010.404494382023
12,1,100,1105.314606741573
13,1,100,4878.494382022472
14,1,100,5886.0
15,1,100,4178.898876404494
16,1,100,1189.6741573033707
17,1,100,6083.561797752809
18,1,100,6102.640449438202
19,1,100,5968.561797752809
20,1,100,6456.202247191011
21,1,100,6249.561797752809
22,1,100,5739.168539325843
23,1,100,6094.2808988764045
24,1,100,6254.202247191011
25,1,100,5913.640449438202
26,1,100,6134.640449438202
27,1,100,3022.2247191011234
28,1,100,5593.449438202247
29,1,100,6198.921348314607
30,1,100,6026.483146067416
31,1,100,6097.483146067416
32,1,100,2155.629213483146
33,1,100,2268.988764044944
34,1,100,5769.247191011236
35,1,100,6114.044943820225
36,1,100,5017.932584269663
37,1,100,5662.52808988764
38,1,100,2152.629213483146
39,1,100,1202.6741573033707
40,1,100,6048.685393258427
41,1,100,5699.247191011236
42,1,100,4244.61797752809
43,1,100,5191.651685393258
44,1,100,2279.988764044944
45,1,100,5714.2808988764045
46,1,100,6013.966292134832
47,1,100,5736.247191011236
48,1,100,6130.404494382023
49,1,100,5777.921348314607
50,1,100,6008.606741573034
51,1,100,5980.966292134832
52,1,100,3645.1011235955057
53,1,100,4781.494382022472
54,1,100,1186.6741573033707
55,1,100,6031.202247191011
56,1,100,5018.213483146067
57,1,100,6026.685393258427
58,1,100,2644.7865168539324
59,1,100,4209.61797752809
60,1,100,5850.966292134832
61,1,100,2036.2696629213483
62,1,100,3781.4606741573034
63,1,100,5701.52808988764
64,1,100,5955.2808988764045
65,1,100,6237.202247191011
66,1,100,6000.842696629214
67,1,100,6133.0
68,1,100,5861.921348314607
69,1,100,3009.2247191011234
70,1,100,3953.179775280899
71,1,100,5462.370786516854
72,1,100,5690.247191011236
73,1,100,4828.494382022472
74,1,100,5599.561797752809
75,1,100,4261.977528089888
76,1,100,5326.730337078652
77,1,100,1078.314606741573
78,1,100,1296.0337078651685
79,1,100,2166.629213483146
80,1,100,5716.449438202247
81,1,100,5619.887640449438
82,1,100,5192.651685393258
83,1,100,6226.202247191011
84,1,100,5814.606741573034
85,1,100,2154.629213483146
86,1,100,6077.561797752809
87,1,100,5672.921348314607
88,1,100,3435.6629213483147
89,1,100,5867.247191011236
90,1,100,3962.179775280899
91,1,100,5003.213483146067
92,1,100,4848.213483146067
93,1,100,6014.842696629214
94,1,100,4272.977528089888
95,1,100,6325.404494382023
96,1,100,4999.213483146067
97,1,100,6119.685393258427
98,1,100,2937.865168539326
99,1,100,5811.640449438202
100,1,100,6168.2808988764045
101,1,100,5825.2808988764045
102,1,100,5846.921348314607
103,1,100,6266.483146067416
104,1,100,6066.842696629214
105,1,100,2033.2696629213483
106,1,100,6087.2808988764045
