run,restarts,r-value,score
1,1,100,1075.314606741573
2,1,100,5931.640449438202
3,1,100,6034.561797752809
4,1,100,6095.606741573034
5,1,100,5733.2808988764045
6,1,100,6370.561797752809
7,1,100,5751.168539325843
8,1,100,6087.921348314607
9,1,100,2027.2696629213483
10,1,100,1423.3932584269662
11,1,100,1297.0337078651685
12,1,100,3641.1011235955057
13,1,100,4719.134831460674
14,1,100,3783.4606741573034
15,1,100,5781.606741573034
16,1,100,4145.258426966292
17,1,100,4577.775280898876
18,1,100,5999.640449438202
19,1,100,6387.483146067416
20,1,100,6203.76404494382
21,1,100,5887.76404494382
